iter	Passed	Remaining
893	3366	399
894	3368	395
895	3371	391
896	3373	387
897	3375	383
898	3378	379
899	3380	375
900	3383	371
901	3385	367
902	3388	363
903	3390	360
904	3393	356
905	3396	352
906	3398	348
907	3401	344
908	3404	340
909	3408	337
910	3410	333
911	3413	329
912	3415	325
913	3418	321
914	3420	317
915	3423	313
916	3425	310
917	3428	306
918	3431	302
919	3433	298
920	3436	294
921	3439	290
922	3441	287
923	3444	283
924	3447	279
925	3450	275
926	3453	271
927	3455	268
928	3458	264
929	3460	260
930	3463	256
931	3465	252
932	3468	249
933	3471	245
934	3473	241
935	3475	237
936	3478	233
937	3480	230
938	3483	226
939	3485	222
940	3488	218
941	3490	214
942	3493	211
943	3496	207
944	3498	203
945	3500	199
946	3504	196
947	3506	192
948	3508	188
949	3511	184
950	3513	181
951	3516	177
952	3518	173
953	3521	169
954	3524	166
955	3526	162
956	3528	158
957	3531	154
958	3534	151
959	3536	147
960	3539	143
961	3541	139
962	3545	136
963	3548	132
964	3551	128
965	3554	125
966	3556	121
967	3559	117
968	3562	113
969	3565	110
970	3567	106
971	3570	102
972	3573	99
973	3576	95
974	3579	91
975	3581	88
976	3584	84
977	3586	80
978	3589	76
979	3591	73
980	3594	69
981	3597	65
982	3599	62
983	3602	58
984	3604	54
985	3607	51
986	3610	47
987	3612	43
988	3615	40
989	3618	36
990	3621	32
991	3624	29
992	3626	25
993	3628	21
994	3631	18
995	3634	14
996	3636	10
997	3639	7
998	3641	3
999	3644	0
