iter	Passed	Remaining
594	1614	1098
595	1616	1095
596	1619	1092
597	1621	1089
598	1623	1086
599	1625	1083
600	1628	1081
601	1630	1078
602	1632	1075
603	1635	1072
604	1637	1069
605	1639	1066
606	1642	1063
607	1644	1060
608	1646	1057
609	1648	1054
610	1651	1051
611	1653	1048
612	1655	1045
613	1658	1042
614	1660	1039
615	1662	1036
616	1665	1033
617	1667	1030
618	1669	1027
619	1671	1024
620	1675	1022
621	1677	1019
622	1681	1017
623	1683	1014
624	1686	1011
625	1688	1008
626	1690	1005
627	1692	1002
628	1695	999
629	1698	997
630	1700	994
631	1703	991
632	1705	988
633	1707	985
634	1711	983
635	1716	982
636	1718	979
637	1721	976
638	1724	974
639	1727	971
640	1729	968
641	1732	966
642	1735	963
643	1738	960
644	1740	958
645	1743	955
646	1746	952
647	1748	949
648	1751	947
649	1754	944
650	1756	941
651	1758	938
652	1761	935
653	1763	932
654	1765	930
655	1768	927
656	1770	924
657	1773	921
658	1775	918
659	1777	915
660	1780	913
661	1782	910
662	1784	907
663	1787	904
664	1789	901
665	1792	898
666	1796	896
667	1798	894
668	1802	892
669	1805	889
670	1808	886
671	1811	883
672	1813	881
673	1817	879
674	1819	876
675	1823	873
676	1825	871
677	1828	868
678	1832	866
679	1834	863
680	1837	860
681	1839	857
682	1842	855
683	1846	852
684	1849	850
685	1851	847
686	1854	844
687	1857	842
688	1860	839
689	1862	836
690	1866	834
691	1868	831
692	1871	829
693	1874	826
694	1878	824
695	1881	821
696	1883	818
697	1887	816
698	1890	814
699	1893	811
700	1896	808
701	1898	805
702	1901	803
703	1904	800
704	1908	798
705	1911	795
706	1913	793
707	1916	790
708	1919	787
709	1921	784
710	1923	782
711	1926	779
712	1928	776
713	1930	773
714	1933	770
715	1935	767
716	1938	764
717	1940	762
718	1942	759
719	1945	756
720	1947	753
721	1950	750
722	1952	748
723	1954	745
724	1957	742
725	1959	739
726	1961	736
727	1964	733
728	1966	731
729	1969	728
730	1971	725
731	1974	722
732	1976	719
733	1978	717
734	1980	714
735	1983	711
736	1985	708
737	1988	705
738	1990	703
739	1993	700
740	1995	697
741	1998	694
742	2000	691
743	2002	689
744	2005	686
745	2009	684
746	2011	681
747	2014	678
748	2016	675
749	2019	673
750	2023	670
751	2025	668
752	2028	665
753	2030	662
754	2033	659
755	2037	657
756	2039	654
757	2042	652
758	2044	649
759	2047	646
760	2050	643
761	2053	641
762	2056	638
763	2058	635
764	2061	633
765	2063	630
766	2067	628
767	2070	625
768	2072	622
769	2075	619
770	2078	617
771	2081	614
772	2084	612
773	2087	609
774	2089	606
775	2091	603
776	2094	601
777	2098	598
778	2100	595
779	2102	593
780	2105	590
781	2107	587
782	2110	584
783	2113	582
784	2115	579
785	2117	576
786	2120	573
787	2122	571
788	2125	568
789	2127	565
790	2130	562
791	2132	560
792	2134	557
793	2137	554
794	2139	551
795	2142	548
796	2144	546
797	2146	543
798	2149	540
799	2151	537
800	2153	535
801	2155	532
802	2158	529
803	2160	526
804	2163	523
805	2165	521
806	2167	518
807	2170	515
808	2172	513
809	2175	510
810	2177	507
811	2179	504
812	2182	501
813	2185	499
814	2187	496
815	2189	493
816	2192	491
817	2194	488
818	2197	485
819	2199	482
820	2202	480
821	2204	477
822	2206	474
823	2209	471
824	2211	469
825	2213	466
826	2215	463
827	2218	460
828	2220	458
829	2222	455
830	2225	452
831	2227	449
832	2229	447
833	2232	444
834	2234	441
835	2236	438
836	2239	436
837	2241	433
838	2243	430
839	2246	427
840	2248	425
841	2250	422
842	2252	419
843	2255	416
844	2257	414
845	2260	411
846	2262	408
847	2264	405
848	2266	403
849	2269	400
850	2271	397
851	2274	395
852	2276	392
853	2278	389
854	2281	386
855	2283	384
856	2285	381
857	2287	378
858	2290	375
859	2292	373
860	2295	370
861	2297	367
862	2300	365
863	2302	362
864	2304	359
865	2307	356
866	2309	354
867	2311	351
868	2314	348
869	2316	346
870	2318	343
871	2320	340
872	2323	337
873	2325	335
874	2327	332
875	2330	329
876	2332	327
877	2334	324
878	2337	321
879	2339	319
880	2341	316
881	2343	313
882	2346	310
883	2348	308
884	2350	305
885	2353	302
886	2355	300
887	2357	297
888	2360	294
889	2363	292
890	2365	289
891	2368	286
892	2370	284
893	2372	281
894	2374	278
895	2377	275
896	2379	273
897	2382	270
898	2384	267
899	2386	265
900	2389	262
901	2391	259
902	2394	257
903	2396	254
904	2398	251
905	2400	249
906	2402	246
907	2405	243
908	2407	241
909	2409	238
910	2411	235
911	2414	232
912	2416	230
913	2419	227
914	2421	224
915	2423	222
916	2426	219
917	2428	216
918	2430	214
919	2432	211
920	2435	208
921	2437	206
922	2439	203
923	2442	200
924	2444	198
925	2446	195
926	2449	192
927	2451	190
928	2454	187
929	2456	184
930	2458	182
931	2461	179
932	2463	176
933	2465	174
934	2468	171
935	2470	168
936	2472	166
937	2475	163
938	2477	160
939	2479	158
940	2482	155
941	2484	152
942	2487	150
943	2489	147
944	2492	145
945	2494	142
946	2496	139
947	2498	137
948	2501	134
949	2503	131
950	2506	129
951	2508	126
952	2510	123
953	2512	121
954	2515	118
955	2517	115
956	2520	113
957	2522	110
958	2524	107
959	2527	105
960	2529	102
961	2531	100
962	2534	97
963	2536	94
964	2538	92
